grp,name
matplotlib,MPL_Accent
matplotlib,MPL_afmhot
matplotlib,MPL_autumn
matplotlib,MPL_Blues
matplotlib,MPL_bone
matplotlib,MPL_BrBG
matplotlib,MPL_brg
matplotlib,MPL_BuGn
matplotlib,MPL_BuPu
matplotlib,MPL_bwr
matplotlib,MPL_cool
matplotlib,MPL_coolwarm
matplotlib,MPL_copper
matplotlib,MPL_cubehelix
matplotlib,MPL_Dark2
matplotlib,MPL_flag
matplotlib,MPL_gist_earth
matplotlib,MPL_gist_gray
matplotlib,MPL_gist_heat
matplotlib,MPL_gist_ncar
matplotlib,MPL_gist_rainbow
matplotlib,MPL_gist_stern
matplotlib,MPL_gist_yarg
matplotlib,MPL_GnBu
matplotlib,MPL_gnuplot
matplotlib,MPL_gnuplot2
matplotlib,MPL_Greens
matplotlib,MPL_Greys
matplotlib,MPL_hot
matplotlib,MPL_hsv
matplotlib,MPL_jet
matplotlib,MPL_ocean
matplotlib,MPL_Oranges
matplotlib,MPL_OrRd
matplotlib,MPL_Paired
matplotlib,MPL_Pastel1
matplotlib,MPL_Pastel2
matplotlib,MPL_pink
matplotlib,MPL_PiYG
matplotlib,MPL_PRGn
matplotlib,MPL_prism
matplotlib,MPL_PuBu
matplotlib,MPL_PuBuGn
matplotlib,MPL_PuOr
matplotlib,MPL_PuRd
matplotlib,MPL_Purples
matplotlib,MPL_rainbow
matplotlib,MPL_RdBu
matplotlib,MPL_RdGy
matplotlib,MPL_RdPu
matplotlib,MPL_RdYlBu
matplotlib,MPL_RdYlGn
matplotlib,MPL_Reds
matplotlib,MPL_s3pcpn
matplotlib,MPL_s3pcpn_l
matplotlib,MPL_seismic
matplotlib,MPL_Set1
matplotlib,MPL_Set2
matplotlib,MPL_Set3
matplotlib,MPL_Spectral
matplotlib,MPL_spring
matplotlib,MPL_sstanom
matplotlib,MPL_StepSeq
matplotlib,MPL_summer
matplotlib,MPL_terrain
matplotlib,MPL_viridis
matplotlib,MPL_winter
matplotlib,MPL_YlGn
matplotlib,MPL_YlGnBu
matplotlib,MPL_YlOrBr
matplotlib,MPL_YlOrRd
ncview,NCV_banded
ncview,NCV_blu_red
ncview,NCV_blue_red
ncview,NCV_bright
ncview,NCV_gebco
ncview,NCV_jaisnd
ncview,NCV_jet
ncview,NCV_manga
ncview,NCV_rainbow2
ncview,NCV_roullet
ncview,ncview_default
svg,SVG_bhw3_22
svg,SVG_es_landscape_79
svg,SVG_feb_sunrise
svg,SVG_foggy_sunrise
svg,SVG_fs2006
svg,SVG_Gallet13
svg,SVG_Lindaa06
svg,SVG_Lindaa07
colorbrewer,CBR_coldhot
colorbrewer,CBR_drywet
colorbrewer,CBR_set3
colorbrewer,CBR_wet
brewer,BrBG
brewer,PiYG
brewer,PRGn
brewer,PuOr
brewer,RdBu
brewer,RdGy
brewer,RdYlBu
brewer,RdYlGn
brewer,Spectral
brewer,Accent
brewer,Dark2
brewer,Paired
brewer,Pastel1
brewer,Pastel2
brewer,Set1
brewer,Set2
brewer,Set3
brewer,Blues
brewer,BuGn
brewer,BuPu
brewer,GnBu
brewer,Greens
brewer,Greys
brewer,Oranges
brewer,OrRd
brewer,PuBu
brewer,PuBuGn
brewer,PuRd
brewer,Purples
brewer,RdPu
brewer,Reds
brewer,YlGn
brewer,YlGnBu
brewer,YlOrBr
brewer,YlOrRd
